DOI,Author(s),Year,Paper Title,Link to paper,Paper ID,Reviewer,Status,Outcome(s) of Interest,Drivers of Risk,Category,Approach,Methodology,Highlights,More Notes,Hazard definition,Impact persistence,Space disaggregation,Impact interactions,Economic dynamics,Climate features,Adaptation considered
10.1016/j.rser.2024.115073,Bamisile O. et al.,2025,The environmental factors affecting solar photovoltaic output,https://discovery.dundee.ac.uk/ws/portalfiles/portal/146761221/1-s2.0-S1364032124007998-main.pdf,10.1016/j.rser.2024.115073,AI,Step 5,Reduced solar PV efficiency and output.,"Solar irradiance, temperature (elevation, heat production), atmospheric conditions (clouds, aerosols, pollutants, dust, humidity), terrain (albedo, snow), extreme weather (wildfires, hailstorms, hurricanes, eclipses), long-term irradiance changes, wind (extreme), land cover changes.",Energy,Other,"The review synthesizes existing literature and observational data to analyze factors impacting solar PV performance; it examines mitigation technologies, long-term irradiance changes, the Average Photon Energy (APE) metric (incorporating air mass, cloud cover, water content), relationships between irradiance and silicon crystal parameters, temperature coefficients/cooling techniques (with an equation for cell temperature approximation), dust cleaning methods/humidity effects, albedo's impact (using global maps from 2014-2024 data), snow cover, and extreme weather events.","Solar PV performance is crucially influenced by solar irradiance variability, atmospheric conditions, and extreme weather events, with a need for tailored strategies to maintain efficiency across diverse climates. High temperatures reduce power output, while spectral distribution and ambient temperature sensitivity affect module performance. Irradiance intensity impacts short-circuit current and fill factor, with higher temperatures shrinking band gaps, increasing leakage currents, and accelerating degradation. Environmental factors like wind and albedo also play significant roles, altering performance regionally and seasonally. Long-term changes, exacerbated by climate change and pollutants, pose ongoing challenges, urging the development of technologies for panel cooling and cleaning to sustain high performance globally.","Solar PV is a rapidly growing energy source, accounting for 5.5% of global electricity in 2023; thin-film PV is sensitive to spectral changes, cell temperature is strongly affected by irradiation, high temperatures accelerate degradation, and wind effects depend on array configuration; solar eclipse impacts increase with solar capacity.",Acute shocks,,,Sequential Interactions,,,"Consideration given to mitigating adverse environmental conditions (dust, temperature, albedo, weather events) affecting PV system performance, including cooling techniques and cleaning methods."
10.1175/BAMS-D-22-0106.1,Stuart et al.,2024,Enhancing Global Food Security,https://repository.library.noaa.gov/view/noaa/67754/noaa_67754_DS1.pdf,10.1175/BAMS-D-22-0106.1,AI,Step 5,Improved global food security through AMS community engagement.,"Extreme weather, climate events (droughts, floods, heat waves, cold snaps, storms), climate change, precipitation, temperature, evaporative demand, evapotranspiration, CO2 levels, climate zone shifts, soil moisture, ENSO, Indian Ocean Dipole, demographic transitions, biodiversity loss, poverty, urbanization, weak governance, ecosystem decline, geopolitical and socioeconomic challenges, conflict, pandemics.",Agriculture,Other,"Agroclimatic information from observations and reanalyses is used for food security decision-making and impact assessments. The methodology includes selecting relevant states and fluxes, using a framework to understand agricultural decisions in relation to meteorological phenomena over multiple temporal and spatial scales, and employing monitoring tools and observational data for contextualizing anomalies, forecasts, and food security outlooks. Expert interpretation and stakeholder engagement in co-developing decision-support tools are emphasized. Forecasts and Earth system monitoring tools help analyze current conditions, integrating forecasts, risk analyses, socioeconomic data, and employing forecast-based financing for early action. Methodology also includes modeling and attributing impacts using various models, counterfactual climate datasets, effective communication, co-production, and iterative engagement.","Climate change acts as a threat multiplier on food insecurity, impacting crop yields, food supply, prices, and grower incomes; the food system is both vulnerable to and a driver of climate change; data across time and space scales are needed to inform stakeholders; human adaptations occur at plant-to-field scales; FEWS NET exemplifies successful early warning systems with strong stakeholder engagement; coproduction and iterative engagement are crucial for effective research to operations (O2R); models are vital, but precipitation predictability needs improvement; droughts trigger cascading events and food price spikes, disproportionately impacting the poor; early warning enables early action, and weather/climate information supports anticipatory humanitarian action and contributes to Sustainable Development Goals.","The AMS can significantly contribute to global food security by improving weather and climate monitoring/forecasting, tailoring information for decision-makers, and fostering collaboration between researchers, users, and stakeholders across weather, water, climate, and agriculture sectors; this includes understanding prediction skill nuances, integrating physical and socioeconomic data, and incorporating local/traditional/Indigenous knowledge for effective early warning systems and sustainable development.",Acute shocks,Adaptive,Regional,,Transitional (accounting for changes over time),,"Adaptation is considered through:

*   Supporting food security decision-making with agroclimatic information.
*   Integrating socioeconomic data and stakeholder engagement for decision-support tools.
*   Improving usability of research through coproduction and iterative engagement.
*   Focusing on forecast-based financing (FbF) and early warning systems for early action.
*   Creating historical counterfactual climate datasets."
10.1111/roiw.12719,Nakamura L. & Sliker B.,2025,Climate Shocks in the Anthropocene Era: Should Net Domestic Product Reflect Climate Disasters?,found,10.1111/roiw.12719,AI,Step 5,Increased asset depreciation; Lower net domestic product (NDP); Lower net domestic investment.,"Climate change, extreme weather, natural disasters (floods, storms, fires, droughts, heat waves), human error, technological accidents, political events, geological events.","Climate Hazards (Flooding, Storms, etc.)",Econometric,"Methodology involves statistical modeling, structural modeling, and meta-analyses using NOAA and BEA data (1980-2023) to estimate asset costs from weather/climate disasters; NOAA focuses on events exceeding $1 billion (CPI deflated) using government and private insurance data, while BEA mainly includes disasters exceeding 0.1% of GDP; the approach proposes including these asset damages in consumption of fixed capital, distinguishing them from infrequent major disasters or unexpected technological developments which are currently recorded differently.","Highlights: Asset damage from weather and climate disasters is increasing, suggesting that depreciation from these events should be included in consumption of fixed capital (CFC) for a more accurate reflection of net domestic product (NDP) and net domestic investment; catastrophic losses are due to identifiable events that destroy a large number of assets, and, unlike normal accidental damage, are not currently included in CFC calculations.","IPCC's Sixth Assessment Report is referenced; Consumption of fixed capital (CFC) definition from SNA08 is presented; extreme weather events are more frequent and predictable; NOAA data includes non-asset costs absent from BEA data, but omits mortality/morbidity and indirect costs, with capital losses comprising ~2/3 of NOAA costs.",Acute shocks,N/A,N/A,N/A,Transitional (accounting for changes over time),N/A,"Adaptation is not explicitly mentioned in these notes. The focus is on modeling climate impacts on assets, particularly damage from disasters, and how these damages are accounted for in economic statistics. There is a discussion on distinguishing between normal asset depreciation and disaster-related damage, and how to incorporate disaster costs into economic indicators."
10.1038/s43247-024-01639-6,Nakase T. et al.,2024,Population at risk of dengue virus transmission has increased due to coupled climate factors and population growth,https://ciencia.ucp.pt/ws/files/105307965/105307811.pdf,10.1038/s43247-024-01639-6,AI,Step 5,Expansion of dengue transmission suitability; population growth in suitable areas; increased population at risk.,"Climate (temperature, humidity), population growth, urbanization, herd immunity, poor urban planning.",Health > Vectore Borne Disease,Other,"Dengue transmission suitability from 1979-2022 was estimated globally at ~11km resolution using Index P, a mechanistic measure based on temperature and humidity effects on mosquito-viral traits; trends in Index P were analyzed using monthly time series and a seasonal Mann-Kendall test; suitability was correlated with dengue case data in select countries, and a censored linear regression model with meta-analysis was used to relate climate suitability to dengue incidence, accounting for population density and size; uncertainty in Index P was addressed using 1000 samples for credible intervals.","Climate suitability for dengue transmission expanded in North America, East Asia, and the Mediterranean basin (1). High suitability correlates with dengue incidence (2,4). Population growth drove increases in people living in high-risk areas globally, except in the Global North where climate change was the primary driver (5). The most significant increases in climate suitability occurred in high-density urban areas (6), increasing the risk of dengue activity, especially in the Global South (7).","Study limitations include sparse reporting, difficulty capturing nonlinear interactions, reliance on single min/max values for climate limits, and locally-specific model parameter estimates; focuses on Ae. aegypti; identifies areas with lower-than-expected dengue cases based on climate suitability; mentions Indian Ocean temperature anomalies predict global dengue trends; no funding was received for the research.",Chronic trends,None,Global,Spatial Interactions,Transitional (accounting for changes over time),N/A,"Adaptation is not explicitly considered or modeled in this study. The research focuses on the relationship between climate suitability (temperature and humidity) and dengue incidence, incorporating population density and size as covariates in some analyses."
10.1038/s41467-024-47197-5,Falchetta G. et al.,2024,Global projections of heat exposure of older adults,https://pure.iiasa.ac.at/id/eprint/19729/1/s41467-024-47197-5.pdf,10.1038/s41467-024-47197-5,AI,Step 5,Doubled chronic heat exposure; 23% (vs. 14% today) of 69+ population in climates exceeding 37.5°C (additional 177-246 million exposed).,"Climate change (increasing heat exposure, frequency/intensity of hot days), population aging, population growth, biological/socioeconomic vulnerability, urban heat island effect, meteorological indicators (CDD, TMax95th, #HD).","Health > Heat and Cold (Cardiovascular, Respiratory, etc.)",Other,"The study combines age-stratified demographic projections with downscaled temperature projections from CMIP6 models to 2050 under SSP-RCP scenarios, using a grid-cell-based approach to decompose changes in regional-scale heat exposure into contributions from age structure, population size, and meteorology; it also downscales demographic projections and compares them with existing sub-national projections, using population growth factors by age-stratum, grid cell, and scenario to calculate heat exposure metrics.","Chronic heat exposure is projected to double by mid-century, significantly increasing the number of older adults (69+) exposed to dangerous heat, especially in Asia (more than threefold increase) and Africa, where adaptive capacity is lower; this will drive demand for thermal regulation and burden social/health services, requiring adaptation solutions tailored to older adults; in temperate regions like Europe/North America, climate change will be the main driver of increased heat exposure, while population aging will be key in warmer regions.","Focuses on the intersection of population aging and climate change, highlighting vulnerable hotspots, especially in Asia and Africa, where heat exposure increases are larger; Emphasizes the need for integrated adaptation and healthcare planning; Relies on gridded population data from WorldPop and acknowledges potential discrepancies in EU projections due to differing scenario assumptions; Uses APE and MAPE to evaluate data differences.",Acute shocks,Permanent,Regional,Sequential Interactions,Transitional (accounting for changes over time),N/A,Potential adaptation strategies are mentioned as a future outcome of understanding impacts. The analysis uses different SSP scenarios to evaluate future heat exposure and decomposes determinants of exposure by region and globally. The calculations for heat exposure metrics apply to current and future climate epochs/SSP scenarios.
10.1016/j.euroecorev.2024.104819,Kotlikoff L. et al.,2024,Can today's and tomorrow's world uniformly gain from carbon taxation?,found,10.1016/j.euroecorev.2024.104819,AI,Step 5,"GDP reduction (high-damage scenarios); catastrophic damages (India, Brazil, South Asian Pacific); welfare gains (carbon tax & transfers); emissions reduction; high compensatory payments (future generations, specific regions); carbon tax effectiveness (dependent on global adoption).","Region-specific temperatures, damage functions, emissions, fossil fuel consumption, carbon policy (taxes/rebates), global mean temperature, timing of policy implementation.",Total,Macro-model,"Large-scale, annually calibrated, multi-region, 18-region overlapping generations (OLG) integrated assessment model (IAM) based on the Global Gaidar Model (GGM) and adopting the functional form of DICE (Nordhaus, 2017) with region-specific emissions, damages, technologies, clean and dirty energy production, and perfect capital mobility, coupled with a climate emulator and solved backward from a steady state in 3017 using a Gauss-Seidel iteration technique; incorporates region-specific temperature and damage functions, calibrated to the latest scientific evidence (CMIP5 simulations); uses pattern scaling (Lynch et al., 2017; Folini et al. 2024) to infer regional temperatures from global temperatures, modelling the carbon cycle using three carbon reservoirs (atmosphere, upper ocean, lower ocean); model calibration uses 2017 GDP values from the World Bank, energy consumption data from the US Energy Information Administration (EIA) for CES production functions, and iteratively solves for optimal carbon tax paths based on Social Cost of Carbon (SCC), employing Lagrange multipliers and converging on uniform welfare gains, with a Krusell-Smith type productivity function with productivity losses as a function of temperature increases, with results from 2017 onwards.","Highlights: Climate change can significantly reduce GDP, especially in regions like India; carbon taxation with redistribution can correct externalities and improve welfare; uniform welfare gains may burden future generations; limited-burden carbon tax policies can still deliver substantial welfare gains; carbon taxes alone are insufficient without global participation, particularly from China; optimal policies dramatically reduce fossil fuel use and emissions; poorer regions may face fairness concerns under UWI policies.","The study examines carbon taxes and redistribution within a multi-region, overlapping generations model, emphasizing Pareto efficiency over social welfare. It features 18 regions, distinct temperature, damage functions, and an international institution coordinating policy. The model highlights optimal carbon taxation paths, noting challenges in distribution of resources and policy calibration. It predicts different timelines for regions ceasing fossil fuel use, with China and Russia significantly accelerating cessation under carbon policy compared to BAU. The analysis faces limitations, including potential underestimation of damages, time consistency issues in redistribution, and the enduring rise of economies like China irrespective of climate policy interventions.",Stylised changes,Permanent,Regional,N/A,Transitional (accounting for changes over time),N/A,"Adaptation isn't explicitly mentioned, but the model considers region-specific technologies, clean and dirty energy production, and carbon tax policies, which can implicitly influence adaptive capacity. The model analyzes different carbon tax and transfer policies and their impact on welfare gains, emissions, temperature, and damages under various damage specifications."
10.1016/j.envint.2024.108691,Wu Y. et al.,2024,Temperature frequency and mortality: Assessing adaptation to local temperature,https://arrow.tudublin.ie/cgi/viewcontent.cgi?article=1253&context=scschphyart,10.1016/j.envint.2024.108691,AI,Step 5,Increased temperature frequency associated with decreased all-cause mortality risk; varying regional adaptation.,Temperature frequency; Moderate/extreme cold & hot; Climate zone; Heatwaves.,"Health > Heat and Cold (Cardiovascular, Respiratory, etc.)",Econometric,"Two-stage time-series quasi-Poisson regression with DLNM: location-specific mortality association with normalized temperature frequency (Stage 1), followed by multilevel meta-analysis pooling (Stage 2). Stratified analysis by temperature, reconstructing exposure-response curves for 1990-1995, 1995-2000, 2000-2005, 2005-2010. Mortality risks compared across temperature frequency percentiles using aggregate anonymized data (MCC Collaborative Research Network) and Köppen climate classification. References a three-stage modelling study (Wu et al., 2022).","Highlights: Increased frequency of temperatures, especially extreme cold and hot, is linked to increased mortality risk, but populations can adapt to local climates through frequent exposure, with adaptation varying geographically due to climate and socioeconomic factors; the highest mortality risk increase is observed in temperate climates and high-income countries, while the greatest mortality decrease with increasing temperature frequency occurs in South Europe.","Data from 757 locations in 47 countries (MCC Network) were used, with temperature frequency ranging from 13 days (Regina, Canada) to 204 days (Fortaleza, Brazil); limitations include demographic data and data availability in specific regions.",Acute shocks,Adaptive,Regional,N/A,Transitional (accounting for changes over time),N/A,"Evidence suggests that changes in temperature-mortality relationships over time are examined using exposure-response curves across different periods (1990-2010). This may imply some consideration of adaptation, though not explicitly stated, by observing how populations respond to temperature changes over time."
10.1016/j.wroa.2024.100223,Ross A.G. et al.,2024,A macro-level analysis of the socio-economic impacts of climate change driven water scarcity: Incorporating behavioural and resilience aspects,found,10.1016/j.wroa.2024.100223,AI,Step 5,"Impact of water scarcity on economy, sector vulnerability, and resilience depending on foresight/preparedness.","Water scarcity, climate change, insufficient rainfall, drought, temporary events, reduced freshwater availability, economic impact, agriculture, manufacturing, electricity generation.",Fresh-Water,Macro-model,"The analysis employs the DEMACRO-ESS, a dynamic multi-sectoral computable general equilibrium (CGE) model parameterized on a 2020 Social Accounting Matrix (SAM) for Germany. It considers three investment behavior scenarios—perfect foresight, myopic expectations, and imperfect foresight—and is conducted using monthly time steps. The model integrates behavioural and resilience aspects, applies nested Constant Elasticity of Substitution (CES) production functions, and incorporates Armington trade links and Leontief coefficients. It accounts for green and blue water and natural capital aspects like land types. Using the AMOS modelling framework, it simulates the socio-economic impacts of reduced water efficiency, conducting sensitivity analyses to explore impacts under varying economic openness.","Highlights include: Agriculture, food, and electricity sectors face negative impacts from water scarcity, while some sectors benefit from competitiveness, potentially increasing water use; firms with foresight perform better during scarcity events; imperfect foresight leads to over-investment and most negative impacts; agriculture is most affected due to freshwater reliance, while some manufacturing sectors see positive effects.","Focuses on engineering resilience, comparing myopic, imperfect foresight, and perfect foresight investment models within a neo-Keynesian, single-country framework with a bargained real wage function and fixed labor force; acknowledges business-as-usual trade partner assumptions and highlights significant indirect impacts of water scarcity on non-water-reliant sectors.",Chronic trends,Adaptive,Regional,Sectoral Interactions,Adaptive (reflecting shifts in economic behavior in response to impacts),N/A,"Adaptation is considered in the context of simulating water scarcity impacts using the DEMACRO-ESS model. The analysis includes exploring different investment behavior models (perfect foresight, myopic expectations, and imperfect foresight) to assess socio-economic responses. Sensitivity analyses are conducted to understand outcomes under varying economic conditions and trade elasticities, implying an examination of resilience and adaptation strategies under different scenarios."
10.5194/tc-18-653-2024,Coulon V. et al.,2024,Disentangling the drivers of future Antarctic ice loss with a historically calibrated ice-sheet model,https://egusphere.copernicus.org/preprints/2023/egusphere-2023-1532/egusphere-2023-1532-ATC2.pdf,10.5194/tc-18-653-2024,AI,Step 5,"Antarctic ice sheet contribution to sea-level rise; short-term ocean-driven mass loss in West Antarctica; mitigating atmospheric role initially (increased snowfall); high-emission scenario: atmospheric influence shifts to amplifying mass loss (+7.5°C threshold, melt-elevation feedback, West Antarctic collapse, East Antarctic grounding-line retreat); low-emission scenario: slower sea-level rise, mass loss confined to Amundsen Sea Embayment/Thwaites Glacier.","Sub-shelf melting, ice discharge, surface mass balance, atmospheric warming, oceanic forcing, melt-elevation feedback, hydrofracturing, marine ice-cliff instability, surface runoff, basal melt, SSP scenarios, CMIP6 climate models.",Sea-level Rise / Coastal,Other,"The study uses the Kori-ULB ice-sheet model at 16km resolution, forced by a subset of CMIP6 climate models (SSP 5-8.5 and 1-2.6) from 2015-2300, with constant climate after, and CMIP5 model NorESM1-M for hindcasts (1950-2014). A 100-member perturbed parameter ensemble (Latin hypercube sampling) explores uncertainties in ice-ocean and ice-atmosphere interactions, and initial conditions. Bayesian calibration, constrained by IMBIE regional mass balance estimates, determines posterior probability distributions, assuming a Gaussian likelihood function. The model employs shallow-ice and shallow-shelf approximations, a Weertman sliding law, and three parameterizations for sub-shelf melting (including PICO). Surface mass balance is calculated using a positive degree-day (PDD) algorithm, with comparisons to MAR and CESM2-WACCM climate models. Sensitivity analyses explore oceanic and atmospheric forcing, with and without melt-elevation feedback. Hydrofracturing is approximated following Pollard et al., 2015; DeConto and Pollard, 2016.","Antarctic mass loss is predominantly ocean-driven in the short-term with atmospheric contributions transitioning from mitigating to amplifying mass loss as warming exceeds +7.5°C, with the collapse of the West Antarctic Ice Sheet projected under SSP5-8.5, driving significant grounding-line retreat in East Antarctica by 2300; under a low-emission pathway, mass loss is confined mainly to the Amundsen Sea Embayment with reduced sea-level rise impact.","Antarctic mass loss is driven by ocean melting this century, with atmosphere initially mitigating via snowfall, but becoming amplifying after +7.5°C warming due to melt-elevation feedback and surface runoff dominating; SSP5-8.5 shows accelerated loss after 2100 and substantial long-term SLR, while lower emissions show reduced SLR mainly from Amundsen Sea Embayment; Study acknowledges limitations including single ice-sheet model, incomplete physics, numerical methods, and potential CMIP6 climate sensitivity biases; 100-member ensemble explores oceanic, atmospheric, and melt-elevation feedback impacts; Surface mass balance over grounded ice increases until end of century, with ice shelves more sensitive to warming thresholds; Study explores committed long-term changes from early-millennium warming; Kori-ULB ice sheet model is used, code and data are publicly available.",Chronic trends,Permanent,Regional,Sequential Interactions,N/A,Tipping Points,"Adaptation is not explicitly considered. The focus is on modeling and projecting sea-level rise under different emission scenarios using ice-sheet models, accounting for uncertainties and calibrating against observations. Some sensitivity analyses are performed, but the models do not include adaptation measures."
10.1088/1748-9326/ad0c88,Litzow M.A. et al.,2024,Climate attribution time series track the evolution of human influence on North Pacific sea surface temperature,https://michaelmalick-com-public.s3.us-west-2.amazonaws.com/papers/litzow_etal_2024.pdf,10.1088/1748-9326/ad0c88,AI,Step 5,"Human influence on ocean temperatures, extreme SST events, sockeye salmon fishery decline.","Human influence, increasing SST, anthropogenic temperature effects, SST anomalies (frequency/intensity), ocean warming.",Fisheries,Other,"Climate attribution techniques, specifically Bayesian estimates of Fraction of Attributable Risk (FAR) and Risk Ratio (RR), were applied to sea surface temperature (SST) time series (1950-2022) from five regional North Pacific ecosystems. The analysis used 23 CMIP6 global climate models, weighting them based on skill and independence, to calculate FAR and RR from normalized SST anomalies relative to a pre-1950 baseline (observations used ERSSTv5 data). Preindustrial and present-day probabilities were estimated using CMIP6 runs and compared, considering historical and SSP5-8.5 scenarios, extending projections to 2100 under SSP2-4.5 and SSP5-8.5. Bayesian regression models related sockeye salmon catch to SST and were used to estimate potential future extremes. Model evaluation considered bias, trend, interannual variability, and SST autocorrelation. A perfect model setup was used to tune model weighting based on bias, trend, standard deviation and autocorrelation. Bayesian smoothed regression isolated the warming signal. The analysis also employed time of emergence studies and regression analyses to relate SST and FAR to catch anomalies, evaluating the evolution of human influence.","Human influence on North Pacific sea surface temperatures (SSTs) was detectable in the 1970s and became overwhelming by 2014-2020, reaching levels likely impossible in the preindustrial climate, especially in the Eastern Bering Sea and Gulf of Alaska. This human influence, measured by Fraction of Attributable Risk (FAR) values often exceeding 0.98, is linked to negative impacts on sockeye salmon fishery catches. Extreme SST events, once expected every 1000-10,000 years, now occur every 5-40 years. Model uncertainty has little impact on the conclusions. Under the SSP5-8.5 scenario, significant SST anomaly increases are projected, particularly in the North Pacific and Eastern Bering Sea, potentially leading to cooler-than-normal conditions with further warming and indicating an increasing risk of fisheries failure, potentially approaching a tipping point for sockeye salmon in the Gulf of Alaska.","Study focuses on the North Pacific (poleward of 20°N) and five regional ecosystems; highlights regional differences in SST impacts and the 'shifting baseline' syndrome; acknowledges limitations of global models for regional analysis, especially in the Eastern Bering Sea; details model weighting based on historical SST patterns; and explains the exclusion of the South Alaska Peninsula due to Bering Sea-bound sockeye.",Chronic trends,Adaptive,Regional,Sequential Interactions,N/A,N/A,Adaptation isn't directly considered. The paper focuses on climate attribution and projecting future SST changes under different emission scenarios and their impact on sockeye salmon.
